case_id,primary_subject,complaint_narrative,scam_type,website,screenshot_detail_url,screenshot_actual_url,screenshot_local
11,amerany.com/farms,"A California resident reports they met an individual on Tinder named ""Ting"" and began a relationship. At some point, Ting convinced the victim to Invest money on the crypto asset staking platform, www.amerany.com/farms. Following Ting's instructions, the victim opened a cold crypto wallet and deposited funds onto the platform. After a while, the victim’s funds were frozen on the platform, and their wallet was banned. The victim has not been able to recover their funds and the website is no longer operational. All told, the victim lost more than $1 million which was their life savings.","Fraudulent Trading Platform

Romance Scam",www.amerany.com/farms,,,
12,STRADX Strategic derivatives,"A California resident reports joining the “NV Prime Club” online, in order to invest in “STRADX Strategic Derivatives”., located at app.stradxdatalake.com. After a while, the website demanded that the victim to invest additional funds. The victim refused, and the platform froze their money and demanded $105,0000 to release the funds. The victim has not been able to withdraw their funds from the platform, and the platform is no longer operational. The victim lost all their retirement savings on the platform.","Fraudulent Trading Platform

Investment Group Scam",app.stradxdatalake.com,,,
13,axioraswap.io,"A California resident reports on their experience with the crypto asset trading platform, AxioraSwap.io, which they tried to use to swap some crypto assets for a different token, but never received the swapped tokens. The resident has been unable to recover their funds and the platform is no longer operational.","Fraudulent Trading Platform

Bait and Switch Scam",AxioraSwap.io,,,
14,"official-xai.com 
(Entity Impersonating xAI)","Two California residents report about their experience with two fraudulent platforms, official-xai.com and https://xai-network.com/home/. The first victim reports that they watched a video that linked to the “xAI token” presale on official-xai.com. The victim reports that they saw a fake video of “Elon Musk” talking about the coin which led them to believe that the offering was legitimate. The victim then initiated a swap for their DOGE coin and put in more than the minimum due to the promise of attractive “bonuses”. After engaging in multiple “successful” transactions with official-xai.com, the victim reports that official-xai.com told the victim they could receive a larger bonus if they made another presale purchase. The victim then transferred USDT and did not receive any coins in return. The website is now defunct. The victim reports sending cryptocurrency to the following wallet addresses:

c4473f3d60ebc2c48ee00ac4a7dd44a19e5f131c596cac047d1bae081514099c
DTLcykDRKbgQ8AKsnnnKP9WwZuVD1sFAan
DKFXeqPcv4s8nFB4pZxjfu2hwjV8LkwXNz
DTLcykDRKbgQ8AKsnnnKP9WwZuVD1sFAan

The second victim reports that they clicked on the link found in a YouTube video and decided to invest on fraudulent platform, https://xai-network.com/home/. The victim sent 2,300 XRP tokens to https://xai-network.com/home/ to swap for the “xAI token” as part of the presale. After sending the XRP tokens and communicating with “customer service”, the victim reports not receiving the “xAI tokens” in return. The platform is no longer available.

The above sites are not affiliated with the company, xAI.","Fraudulent Trading Platform

Rug Pull Scam","official-xai.com

https://xai-network.com/home/",,,
15,cointrust1.cc,"A California consumer reports about their experience using the crypto asset trading platform Cointrust.cc operating at https://cointrust1.cc/. After making two deposits to the platform in crypto, the resident was then unable to access or withdraw their funds from the platform.  The website is no longer operational. All told, the resident lost more than $2,400. The resident reports sending ETH to 0x33efb1efc0faeda19003fb4e73e7bc7b8d0c807a.",Fraudulent Trading Platform,https://cointrust1.cc/,,,
16,oslvsap.vip,"A California resident reports they were approached online by someone who eventually introduced them to the crypto asset trading platform OSL operating at www.oslvsap.vip. The online friend told the victim they could make large profits on the platform. The victim started with a small investment. Over time, the online friend encouraged the victim to deposit more money on the platform, and at one point, believed their account had grown to more than $140,000. But when the victim tried to withdraw funds, the platform demanded they pay a “20% management fee”. After paying the fee, which amounted to $25,000, the platform demanded they pay an additional $21,000 under the guise of some sort of verification fee. The victim has been unable to recover any funds from the platform, which is no longer operational. All told, the victim lost more than $90,000.","Fraudulent Trading Platform

Pig Butchering Scam",https://www.oslvsap.vip,,,
17,web.bitfarms.top,"A California resident reported their experience with the crypto asset trading platform Bitfarms operating at https://web.bitfarms.top. After depositing funds on the platform, the victim was able to engage in several successful transactions. But when they tried to withdraw funds, the platform demanded they pay a “mining fee”. The victim paid, but then the platform demanded they pay a “tax bill.” The victim has been unable to withdraw their funds from the platform, which is no longer operational.",Fraudulent Trading Platform,https://web.bitfarms.top/#/,,,
18,invescoin.com,"A California consumer reports about their experience with an online crypto asset trading platform operating at Invescoin.com. The consumer opened an account on the platform, deposited funds, and the platform appeared to show that the victim earned significant profits. But when the victim tried to withdraw their funds, Invescoin did not respond. 

The consumer has not recovered any funds. The website is no longer in operation. All told, they lost more than over $159,000.",Fraudulent Trading Platform,https://www.invescoin.com/#/home,,,
19,firepin.io,"A California consumer reports about their experience with the crypto asset platform operating at firepin.io. The consumer was led to believe they could purchase a new crypto asset token before it went public. The consumer deposited funds on firepin.io to purchase the token but later requested a refund and received no response. The consumer has not recovered any funds, and the website is no longer operational.",Rug Pull Scam,https://firepin.io,,,
20,ycbit.com,"A California resident reports being contacted via LinkedIn and Whatsapp by an individual claiming they could make quick, profitable investments using the crypto asset trading platform YCBIT operating on the website ycbit.com. The resident created and funded an account on the platform and after trading there, believed their account had grown in value. But when the resident tried to withdraw funds, the website demanded multiple payments including a deposit equal to 10% of the withdrawal amount, another deposit equal to 15% of the total balance of the account to confirm identity, and another deposit equal to the total amount in the account, before it would allow a withdrawal. The resident has not recovered any funds and the website is no longer active.","Fraudulent Trading Platform

Pig Butchering Scam",ycbit.com,,,
21,"kakucoin.com
(Entity Impersonating KuCoin.com)","A California resident reports on their experience with the crypto asset trading platform operating on the website kakucoin.com. After creating and funding an account on the platform, the resident believed his account was growing in value. But when the victim tried to make a withdrawal, the site demanded they deposit additional funds first. The victim did so, but was still unable to withdraw funds. The resident has not recovered any funds and the website is no longer active. 

This is not to confused with legitimate exchange, KuCoin.com.","Fraudulent Trading Platform

Pig Butchering Scam",kakucoin.com,,,
22,ETF Swap Presale,"Multiple California residents report on their experience with a crypto asset venture operating on the website etfswappresale.com. They report the site offered initial coin offerings (ICO’s). But after they deposited funds on the website to invest in the ICO’s, they didn’t get the coins, nor could they get their money back. One victim reported that all their crypto assets were transferred out of their crypto wallet after they clicked on a related website, etfswappresale.live. Neither of the websites are currently active.",Crypto Wallet Drainer Attack,"etfswappresale.com

etfswappresale.live",,,
23,stocks-finance.com,"A California victim reports on their experience with the crypto asset trading platform operating at stocks-finance.com. After trading on the site, and believing they had made profits, the victim tried to make a withdrawal from their account for an emergency. The platform's customer service first advised the customer to wait a day, then told them their account had been closed or switched to a different crypto account, and then their account balance suddenly showed a negative balance. The victim has been unable to withdraw their funds and the website is not operational.",Fraudulent Trading Platform,stocks-finance.com,,,
24,2bridgeio.com,"A California residents reports meeting “Dylan” on a dating app who suggested they move their conversations to WhatsApp. At some point, Dylan brought up the topic of investing in crypto assets. Dylan convinced the victim to open an account on the trading platform operating at 2bridgeio.com and sell some of their other investments to transfer funds onto that platform. The victim deposited funds on 2bridgeio.com and attempted to withdraw, but has been unable to recover any of their funds.  The website is no longer operational. All told the victim lost more than $550,000 on the platform.","Fraudulent Trading Platform

Pig Butchering Scam",http://2bridgeio.com/,,,
25,usdcbtc.cc,"Multiple people report on their experiences with a crypto asset trading platform operating at the website usdcbtc.cc:

A California victim was introduced to the site through a WhatsApp group called “Star Navigation Capital”.  The group was led by a trading guru “Jason” and his assistant “Caroline”.  At first, Jason and Caroline gave stock tips, but after a few weeks, Jason encouraged group members to trade ICOs (initial coin offerings) on usdcbtc.cc.  Based on Jason’s advice, the victim took out a large loan and transferred funds to the site.  The victim was able to withdraw small portions of their account balance.  But when the victim tried to withdraw a more substantial sum, the platform demanded they pay a large withdrawal fee first.  The victim has been unable to recover their money.  All told they lost more than $330,000 on the website.

A second California victim reports they also opened an account and transferred funds to usdcbtc.cc for crypto trading.  Over time, the victim believed they made more than $1.4 million from crypto trading.  The victim reports they were also initially able to withdraw smaller sums of money from the site.  But when the victim tried to withdraw a larger sum, the site demanded they pay a 10% withdrawal fee.  The victim has since been unable to withdraw their money. All told, they lost approximately $60,000 on the website.

An out-of-state victim reported that they were referred to usdcbtc.cc by a friend who claimed to be making “easy money trading on crypto”.  The friend referred the victim to a WhatsApp group called “Celestial Investment Crew”, also led by Jason and Caroline.  Jason encouraged group members to drain any stock accounts so they can deposit money on the site.  Following Jason and Caroline’s instructions, the victim opened an account and transferred funds to buy ICOs. They have been unable to withdraw any of their funds. All told they lost at least $10,000 on the website.

A second out-of-state victim also reported usdcbtc.cc.  The victim invested $5,000 and believed they made $11,000 in trading gains.  They have been unable to withdraw any of it.  The website is no longer operational.

The victims identified the following Ethereum wallets as part of the scam:

0x0d113Bd8F4D9Cf77d02Dcb036C4E54dDF3A3835E
0x925b13608a9D7B65Bf5d55DD528488A33A43cbFF
0x61741b69e6196fe3da3e51dd50d8b6c3400188bc
0xF70e17934465D64604FEdf6E0a3721797291f8E0
0x8D133f737654c759a588fd99D4A08A376FB8bCe8
0x8bdfeaff0a7d9d7fa67309da1c793ed979f645eb

The victims also identified the following Bitcoin wallets as part of the scam:

3AMCzuPvuFsQFb3XAcAK2kfUVcWfkGvE1g
1FCpLh7v3iBm5a5Pt2QhRDy4se6U8PgFT8
3GpokEfKuY3ZuKxVaLzdZ8JTzQ3jtoG8K2

Finally, the victims identified one TRON wallet as part of the scam:

TCDmtc4qVdPzmeqmKNZoCW5M2cwxHmD4eb","Fraudulent Trading Platform

Rug Pull Scam",https://usdcbtc.cc/,,,
26,Web3.rfolmax.com,"A California resident reports on their experience with a purported crypto asset trading platform operating on the website http://web3.rfolmax.com/. The resident transferred assets to fund an account on the platform and was initially able to withdraw a small amount from their account. However, after believing they had made profits trading crypto assets, when they tried to make another withdrawal, the platform demanded a $58,000 “tax.” The resident paid the fee, but then was told their account was locked due to “suspicious activity “and the platform demanded they deposit another $30,000 in their account to “verify their identity”. The victim has been unable to recover any more funds from the platform and the website is no longer operational. All told, the victim lost at least $90,000 on the platform. 

Rfolmax.com associated wallet addresses:

1Ev7RDRL2PNzZZmRYELtJHRTqHRTqHb7DbGVb

0x0F16E4832AEcDb8f207502F6C94455541Dd995e7",Fraudulent Trading Platform,http://web3.rfolmax.com/,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/web3-rfolmax-com-customer-service-page-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/10/web3.png,screenshots_v2\case_026.png
27,"Up-Business
http://up-business.top
up-business.business","Two California residents reported about their experiences investing on the crypto asset trading platform Up-Business. The first victim was approached by “Raddy” on Facebook who suggested they continue their conversations on WhatsApp. Over time, Raddy began introducing the resident to crypto asset trading and eventually convinced the resident to invest with Raddy on the trading platform, located at the website up-business.top. Raddy convinced the victim they used an AI trading program that would generate stable returns. Following Raddy’s instructions the victim invested funds on the platform and believed they were earning substantial profits on the platform. But when the victim tried to withdraw funds from the platform, they were not able to. All told the victim lost more than $55,000 on the platform. The resident reported sending crypto to 0xB10ABECA64cf19d37c45045a5851BB528fB21E47. 

The second victim was approached by “Reddy” on WhatsApp who convinced them to  create an account and transfer funds to a crypto asset trading platform located at up-business.business. Reddy convinced the victim they could earn profits with an AI-based crypto asset trading program, but they needed to make a minimum of five trades. The victim made the five trades and believed they had made a profit on the platform. But when the victim tried to withdraw funds, the platform’s customer support demanded they deposit additional funds and engage in five more trades first. Reddy encouraged the victim to do this, and soon the victim believed their account had grown to more than $100,000. But when the victim tried to withdraw funds again, the platform demanded they pay 10% of the withdrawal before it would release the funds. The victim has been unable to recover any funds and the platform is no longer operational.","Pig Butchering Scam

Fraudulent Trading Platform","http://up-business.top/
http://up-business.business/",https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/up-business-top-homepage-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/10/Up.business.top-homepage-.jpeg,screenshots_v2\case_027.jpeg
28,tensorium.ai,"A California resident reports investing funds on the crypto asset platform Tensorium but has not been successful in getting the funds returned despite requests. The website is no longer operational. All told the victim lost $30,000.",Fraudulent Trading Platform,tensorium.ai,,,
29,Union Maga Morgan Club,"A California consumer joined a WhatsApp group called “Morgan Club,” where members posted trading signals to make profitable investments. The group encouraged the victim to open an “institutional account” on a platform called Union Maga or unionmaga.com.  

Encouraged by the group members posting messages about large trading gains, the victim deposited funds onto the platform. After a month or so, the victim believed their account had grown to approximately $6 million. But when the victim tried to withdraw funds, the platform demanded a 10% commission. The victim paid but the platform then shut down and they could no longer log in.

The consumer has not retrieved any of their invested funds. The site is no longer in operation. All told, the investor lost at least $350,000.","Investment Group Scam

Signal Selling Scam",http://unionmaga.com,,,
30,wealthfrontes.com,"A California resident reports being contacted via WhatApp by an individual claiming to be part of an exclusive investment group. The individual said the victim could make money investing on the crypto asset platform Wealth Firms hosted at wealthfrontes.com. Following the individual’s instructions, the victim opened an account, transferred funds began to invest on the platform. Over several months the victim made multiple trades and believed they were making profits. But when the victim tried to withdraw the funds, the platform said the account was locked and demanded they pay security fees. The website is no longer operational and the victim has been unable to recover any of their funds. All told the victim lost approximately $40,000.

The victim reported transferring assets to the following wallet addresses: 

ETH:
0x9af6b373b09160ebdaf7d915f37443ef3513cfac
0x171dd048d1e9fa8ed2e005b7c46ff8ac76e96047
0x61876fa5cca2fa1a6b05764897f4aa77396c3ff7
0x243bde8dd82635ea121bf56368de399546f6dafd
0x6fca9545581b5b4d9383e71a2eafdbe987cfe86a
0xad33638322e12612f3cd790fc0246053e358f0f7
0xebbf281b9bd4f9e10e6ac81dc6984774ebd4587d
0xb8951e9f751624d5c6bd3b2269bc72d1ca3e2d67
BTC: 19SaGaeWAd6T34CKZg4UqzmXas84xcyP6y
ETH: 0xeCC59707267E3Ce8c9F04DbB4c804971dA9376Fe
USDC: 0x61876Fa5CCa2fa1A6B05764897f4Aa77396c3fF7
ERC20: 0x7169c5401E4e362Efa7FF3E259D475adD254B468",Fraudulent Trading Platform,http://wealthfrontes.com,,,
31,XSWUS.NET,"A Californian reports they lost over $2.2 million to a fake crypto trading platform called XSWUS.net.  The victim says they were introduced to the platform by someone they met on Facebook, who they believed to be a romantic partner.  The victim believed they had earned almost $4 million trading on the platform.  However, they have not been able to recover their money.",Fraudulent Trading Platform,http://xswus.net/,,,
32,zenmev.com,"A California resident reports investing funds on the crypto asset platform Zenmev.com which advertised it provided MEV staking service. Then the victim’s Zenmev.com X account was deleted from the platform and the website is no longer operational. All told the victim lost more than $550,000","Fraudulent Trading Platform

Liquidity Mining Scam",http://zenmev.com/,,,
33,http://bynoxdex.com/,A California resident reports on their experience with a crypto asset trading platform operating at the web address bynoxdex.com. The resident transferred crypto assets to the platform but now the website is no longer operational. The victim has not been able to recover their funds.,Fraudulent Trading Platform,http://bynoxdex.com/,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/bynoxdex-com-withdrawal-page-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/10/bynoxdex-640.png,screenshots_v2\case_033.png
34,"Hrdebit
hrdebit.com","A California resident reports meeting an individual named “Jack” who claimed he had developed a trading mechanism using AI that guaranteed profitable trades 100% of the time. Jack told the victim about a futures exchange trading platform, Hrdebit, operating at hrdebit.com where he would trade bitcoin for the both of them. Following Jack’s instructions, the victim set up an account and deposited funds, believing the account was worth more than $2 million after only a few weeks of investing. But when the victim tried to withdraw their profits, the platform’s customer service demanded a 20% service fee and that it would seize the funds if the victim didn’t pay. The victim has been unable to recover their funds from the platform and the website is no longer operational. All told, the resident lost at least $358,000 on the platform.","Pig Butchering Scam 

AI Investment Scam",hrdebit.com,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/hrdebit-com-customer-service-page-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/10/Hrdebit-640.jpg,screenshots_v2\case_034.jpg
35,Amundi Ltd,"A California consumer was approached online by “Amundi TM” who claimed to be a broker representing an investment firm. The alleged broker encouraged the consumer to access to a trading platform at amundi-ltd.com and then offered “margin loans” to facilitate larger trades. After the larger trades appeared to yield profit, the broker demanded the victim repay the margin loan by wiring funds from their bank, rather than from the profits in the account.

The consumer did not pay and now has been unable to recover their investment. The site is not operational.","Pig Butchering Scam

Fraudulent Trading Platform",https://www.amundi-ltd.info/,,,
36,ApolloX,"A California resident reports that they were contacted on Instagram by a stranger, who eventually asked that they move the conversations to WhatsApp. At some point, the stranger introduced them to Crypto futures trading on fraudulent platform, ApolloX, operating at the website apolloxxap.com. The victim invested, and believed they were making profitable trades, but when they to withdraw their funds, the ApolloX helpdesk told the resident they suspected “malicious trading” in the account and demanded a $10,400 “security fee”. The resident paid the fee but ApolloX then demanded a “tax” on profits. The resident paid the “tax” but the platform told them that since their account had past issues, they would have to wait to make a withdrawal, unless they purchased a “VIP membership” for $50,000. The victim contacted the stranger who suggested that if the victim could pay $10,000 to ApolloX the stranger would pay the remaining $40,000 for the “VIP membership.” But even after obtaining the VIP membership, ApolloX demanded an additional $20,000 in “withdrawal fees”. The resident has not been able to withdraw their funds and the website is no longer operational.","Fraudulent Trading Platform 

Pig Butchering Scam",http://apolloxxap.com,,,
37,bitcoin25.io,"A California consumer reports watching a YouTube livestream featuring a prominent CEO who claimed that if one sent crypto to certain wallet addresses through bitcoin25.io, the site would send back double the amount. 

The consumer sent the crypto assets to the wallet but has not recovered any funds and the site is no longer in operation. The consumer sent Ethereum to the following address:

0xA697b4a30Aee4E0e98B2a3Dc0E7bD28a9D934cFf",Crypto Giveaway/Airdrop Scam,http://bitcoin25.io/,,,
38,denoex.com,"A California resident reports watching a video that claimed to feature a well-known crypto asset personality who said they could make money investing funds on the crypto asset platform Denoex, at www.denoex.com. The victim opened an account on the platform and believed they had successfully made several trades. But then the platform notified the victim their account was being flagged as at risk for money laundering and demanded the victim pay additional funds to verify their account. The victim paid, and then platform demanded they upgrade to a premium membership to make withdrawals. The victim has been unable to recover their funds, and the website is not operational.",Crypto Giveaway/Airdrop Scam,https://www.denoex.com/,,,
39,homescnl.com,"A California resident reports that they were invited to Homescnl.com via video conference with an individual who claimed to be the CEO of the company. During the call, the CEO said it made money in California real estate by buying properties at below market prices, remodeling them, and selling them at a profit to pay investors – a practice known as “flipping.”  The CEO said it paid investors twice a week and also would pay the resident to recruit additional people. All the payments would be made in crypto assets. The resident then opened an account on the website homescnl.com and deposited money in order to invest. The victim reported they received payments at first, but then the payments stopped and the website is no loner operational. All told the resident lost more than $30,000.","High Yield Investment Program

Fraudulent Trading Platform",homescnl.com,,,
40,http://bitsorcoinss.com/,"A California consumer met “Lily” on a dating app who asked to move the conversation to WhatsApp. After discussing their shared interest in early retirement, Lily brought up the topic of trading crypto options. 

Shortly thereafter, the consumer received a text message from a purported crypto trading platform called bitsorcoinss.com which offered deposit-matching bonuses for opening an account. Lily pressed the victim to open an account on the platform. The victim sent funds but now cannot recover them and the website is no longer operational.","Romance Scam

Pig Butchering Scam",http://bitsorcoinss.com/,,,
41,https://www.atomexc.com/,"A California resident reports meeting an individual on an online dating app who introduced them to crypto trading website, https://www.atomexc.com/. The resident deposited money onto https://www.atomexc.com/ and believed that the balance in their account was growing. But when the victim tried to withdraw funds, the platform demanded they pay a “tax”. The resident paid the “tax” but then the platform demanded an additional “fee” of $16,000 to complete the withdrawal. The victim did not pay the additional fee and has been unable to recover their funds from the platform. The website is no longer operational. All told, the victim lost more than $14,000.","Fraudulent Trading Platform 

Pig Butchering Scam",https://www.atomexc.com/,,,
42,Propichain Finance,"A Californian reports on their experience trying to buy a crypto token called “Propichain” ($PCHAIN), on the website propichain.finance.  The victim sent money to Propichain but never received any tokens.  When the victim complained to Propichain’s customer support team, their login credentials were blocked.  The victim has not been able to recover any of their money and the website is no longer operational. All told the victim lost $20,000.",Fraudulent Trading Platform,https://propichain.finance/,,,
43,btc01.org,"A California resident reports meeting an individual on an international dating app, Bumpy. After talking for a few months, the individual encouraged the resident to start investing on crypto asset trading platform, btc01.org. The website is no longer operational. The victim reports losing more than $46,000.","Pig Butchering Scam

Fraudulent Trading Platform",btc01.org,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/btc01-org-homepage-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/09/btc01.org-Homepage.jpg,screenshots_v2\case_043.jpg
44,Crypto Networks,"A California consumer discovered Crypto-Networks.net through a promotional YouTube video and decided to use the platform to invest in cryptocurrency. After making a few small deposits that appeared to work, the consumer deposited more crypto assets. Following that deposit, the platform abruptly froze the consumer’s account.

When the consumer contacted support, the platform demanded they upgrade to “Titan Status” before they could withdraw funds. The upgrade cost $10,000, which the consumer paid by transferring more crypto assets. Despite transferring the funds, the consumer’s account remained frozen, and the platform stopped responding. The site is no longer in operation and the consumer has not retrieved any of their funds.",Fraudulent Trading Platform,Crypto-Networks.net,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/crypto-networks-homepage-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/09/Crypto-Networks-Homepage.jpg,screenshots_v2\case_044.jpg
